id,firstname,lastname,birthdate,pos
8444964,Jack,Arbour,1899-03-07,D
8445962,Art,Duncan,1891-07-04,D
8446463,Frank,Foyston,1891-02-02,C
8446613,Fred,Gordon,1900-05-06,R
8446662,Harold,Halderson,1900-01-06,D
8447517,Clem,Loughlin,1894-11-15,D
8448039,Russell,Oatman,1905-02-19,L
8449007,Johnny,Sheppard,1903-07-23,L
8449310,Jack,Walker,1888-11-29,L
8450121,Herb,Stuart,1899-03-30,G
8445923,Babe,Donnelly,1895-12-22,D
8445969,Red,Dutton,1898-07-23,D
8446152,Hap,Emms,1905-01-12,L
8450144,Flat,Walsh,1897-03-23,G
8445143,Clarence,Boucher,1896-11-01,D
8445526,Bob,Connors,1904-10-19,L
8446877,Normie,Himes,1903-04-13,C
8448949,Laurie,Scott,1900-06-19,L
8444998,Ace,Bailey,1903-07-03,R
8445203,Bill,Brydge,1901-10-22,D
8445345,Bill,Carson,1900-11-25,C
8445762,Danny,Cox,1903-10-12,L
8446649,Lloyd,Gross,1905-09-05,L
8447144,Butch,Keeling,1905-08-10,L
8448098,George,Patterson,1906-05-22,L
8448226,Al,Pudas,1899-02-17,R
8449308,Carl,Voss,1907-01-06,C
8445311,Frank,Callighen,1906-02-13,D
8446641,Alex,Gray,1899-06-21,R
8450043,Joe,Miller,1900-10-06,G
8445474,Dit,Clapper,1907-02-09,R
8445488,Nobby,Clark,1897-06-18,D
8445525,Harry,Connor,1904-12-03,L
8446557,Dutch,Gainor,1904-04-10,C
8447337,Martin,Lauder,1907-01-26,D
8445262,Marty,Burke,1905-01-28,D
8446571,Leo,Gaudreault,1905-10-19,L
8447523,Gerry,Lowrey,1906-02-14,L
8448197,Joe,Primeau,1906-01-29,C
8448244,Beattie,Ramsay,1895-12-12,D
8449060,Art,Smith,1906-11-29,D
8445189,Cecil,Browne,1896-02-13,L
8446631,Ted,Graham,1906-01-30,D
8446891,Val,Hoffinger,1901-01-01,D
8447671,Eddie,McCalmon,1902-05-30,R
8447870,Earl,Miller,1905-09-12,L
8449156,Barney,Stanley,1893-01-01,R
8449220,Ralph,Taylor,1905-10-02,D
8449366,Nick,Wasnie,1904-01-01,R
8449383,Cy,Wentworth,1905-01-24,D
8449966,Charlie,Gardiner,1904-12-31,G
8445442,Gene,Chouinard,1902-01-05,D
8446600,Sam,Godin,1909-09-20,R
8446652,Len,Grosvenor,1905-07-21,C
8449019,Al,Shields,1907-05-10,D
8444987,Larry,Aurie,1905-02-08,R
8449006,Frank,Sheppard,1907-10-19,C
8445183,Fred,Brown,1900-09-15,L
8447306,Joe,Lamb,1906-06-18,R
8449246,Bill,Touhey,1906-03-23,L
8449341,Jimmy,Ward,1906-09-01,R
8445026,Marty,Barry,1905-12-08,C
8445347,Gerry,Carson,1905-10-10,D
8447318,Myles,Lane,1905-10-02,D
8449292,Sparky,Vail,1906-07-05,D
8447221,Lloyd,Klein,1910-01-13,L
8448078,George,Owen,1901-02-12,D
8448138,Eric,Pettinger,1904-12-14,L
8449381,Cooney,Weiland,1904-11-05,C
8450127,Tiny,Thompson,1903-05-31,G
8447468,Art,Lesieur,1907-09-13,D
8447604,Georges,Mantha,1908-11-29,D
8447884,Armand,Mondou,1905-06-27,L
8445093,Andy,Blair,1908-02-27,C
8446915,Red,Horner,1909-05-28,D
8449983,Benny,Grant,1908-07-14,G
8445288,Bobby,Burns,1905-04-04,L
8445746,Rosie,Couture,1905-07-24,R
8446617,Johnny,Gottselig,1905-06-24,L
8447609,Mush,March,1908-10-18,R
8448334,Vic,Ripley,1906-05-30,L
8446144,Fred,Elliott,1903-02-18,R
8445839,Frank,Daley,1909-08-22,L
8447484,Herbie,Lewis,1906-04-17,L
8449897,Dolly,Dolson,1897-05-23,G
8446857,Henry,Hicks,1900-12-10,D
8447652,Cliff,McBride,1909-01-10,R
8448034,Baldy,Northcott,1908-09-07,D
8448372,Earl,Robinson,1907-03-11,R
8449264,Dave,Trottier,1906-06-25,L
8446458,Harry,Foster,1907-11-25,D
8446607,Leroy,Goldsworthy,1906-10-18,R
8446843,Orville,Heximer,1910-02-16,L
8448237,Leo,Quenneville,1900-06-15,L
8448298,Bill,Regan,1908-12-11,D
8447012,Bill,Hutton,1910-01-28,D
8449218,Bob,Taylor,1904-08-12,R
8448346,Gus,Rivers,1909-11-19,R
8450050,Mickey,Murray,1898-10-14,G
8445234,Gord,Brydson,1907-01-03,C
8445512,Charlie,Conacher,1909-12-20,R
8447025,Busher,Jackson,1911-01-19,L
8444863,Stew,Adams,1904-10-16,L
8445127,Helge,Bostrom,1894-01-09,D
8445537,Tom,Cook,1907-05-07,C
8447018,Frank,Ingram,1907-09-17,R
8449126,Art,Somers,1902-01-19,C
8446924,Syd,Howe,1911-09-28,C
8447183,Wally,Kilrea,1909-02-18,R
8449160,Harold,Starr,1906-07-06,D
8445029,Cliff,Barton,1907-09-03,R
8447050,James,Jarvis,1907-12-07,L
8447602,Rennison,Manners,1904-02-05,C
8450117,Red,Spooner,1910-08-24,G
8446612,Ebbie,Goodfellow,1907-04-09,C
8446966,James,Hughes,1906-05-12,D
8447638,Joe,Matte,1909-03-15,D
8447654,Stan,McCabe,1908-06-16,L
8448428,Harvey,Rockburn,1908-08-20,D
8449821,Bill,Beveridge,1909-07-01,G
8448140,Bill,Phillips,1902-09-23,C
8449467,Archie,Wilcox,1903-05-09,R
8449858,Abbie,Cox,1904-07-19,G
8445284,Roy,Burmister,1906-08-12,L
8447634,George,Massecar,1904-07-10,L
8445334,Gene,Carrigan,1907-07-05,C
8445908,Cecil,Dillon,1908-04-26,R
8447056,Joe,Jerwa,1907-01-20,D
8447167,Ernest,Kenny,1907-08-20,D
8447607,Bud,Maracle,1904-09-08,L
8447646,Sam,McAdam,1908-05-31,C
8448134,Frank,Peters,1905-06-05,D
8449309,Deacon,Waite,1905-04-09,C
8444850,Henry,Harris,1906-04-28,R
8445037,Red,Beattie,1907-10-02,L
8445362,Art,Chapman,1906-05-29,C
8447534,Ron,Lyons,1909-02-15,L
8448188,Jack,Pratt,1906-04-13,C
8448605,Paul,Runge,1908-09-10,C
8446553,Johnny,Gagnon,1905-06-08,R
8448233,Jean,Pusie,1910-10-15,D
8446628,Bob,Gracie,1910-11-08,C
8446674,Herb,Hamel,1904-06-08,R
8446931,Rolly,Huard,1902-09-06,C
8447052,Roger,Jenkins,1911-11-18,R
8447473,Alex,Levinsky,1910-02-02,D
8445885,Vic,Desjardins,1900-07-04,C
8448440,Doc,Romnes,1909-01-01,L
8449306,Ed,Vokes,1909-05-27,L
8447198,Ray,Kinsella,1911-01-27,L
8445741,D'arcy,Coulson,1908-02-17,D
8445818,Stan,Crossett,1900-04-18,D
8449861,Wilf,Cude,1910-07-04,G
8445233,Glenn,Brydson,1910-11-07,R
8446559,John,Gallagher,1909-01-19,D
8446753,Paul,Haynes,1910-03-01,C
8446946,Al,Huggins,1910-12-21,L
8447828,Jack,McVicar,1904-06-04,D
8448383,Earl,Roche,1910-02-22,L
8448421,Des,Roche,1909-02-01,R
8450009,Dave,Kerr,1910-01-11,G
8444989,Vern,Ayres,1909-04-27,D
8445527,Eddie,Convey,1910-12-16,L
8446954,Albert,Hughes,1901-05-13,C
8448210,Ellie,Pringle,1911-08-31,D
8448241,Yip,Radley,1908-06-27,D
8445806,Jimmy,Creighton,1905-11-18,L
8446182,Stewart,Evans,1908-06-19,D
8446245,Tommy,Filmore,1906-03-14,R
8447780,Bert,McInenly,1906-05-06,L
8448004,John,Newman,1910-04-24,C
8449128,John,Sorrell,1906-01-16,L
8449177,Frank,Steele,1905-03-19,R
8445157,Doug,Brennan,1905-01-10,D
8446766,Ott,Heller,1910-06-02,D
8448951,Earl,Seibert,1911-12-07,D
8445150,Irwin,Boyd,1908-11-13,R
8445261,Eddie,Burke,1907-06-03,R
8445533,Bud,Cook,1907-11-20,C
8447054,Ed,Jeremiah,1905-11-04,R
8447055,Frank,Jerwa,1909-03-15,L
8449208,Max,Sutherland,1907-02-08,L
8450003,Percy,Jackson,1907-09-21,G
8444870,Art,Alexandre,1909-03-02,L
8448357,Fred,Robertson,1911-10-22,D
8445742,Art,Coulter,1909-05-31,D
8446901,Lou,Holmes,1911-01-29,C
8449003,Pat,Shea,1912-10-29,D
8445960,Lorne,Duguid,1910-04-04,L
8450115,Normie,Smith,1908-03-18,G
8447139,John,Keating,1908-02-12,L
8449553,Hub,Wilson,1909-05-13,L
8449666,Doug,Young,1908-10-01,D
8444982,Ossie,Asmundson,1908-11-17,C
8448139,Gord,Pettinger,1911-11-11,C
8449787,Andy,Aitkenhead,1904-03-06,G
8446590,Art,Giroux,1908-06-06,R
8447691,Walt,McCartney,1911-04-26,L
8447969,Leo,Murray,1906-02-15,C
8448251,Paul,Raymond,1913-02-27,R
8445947,Dave,Downie,1909-03-11,C
8448784,Charlie,Sands,1911-03-23,C
8449233,Bill,Thoms,1910-03-05,C
8445113,Buzz,Boll,1911-03-06,L
8447770,Don,McFadyen,1907-03-24,C
8449464,Art,Wiebe,1912-09-28,D
8450173,Clarence,MacKenzie,1906-07-11,R
8445296,Walt,Buswell,1907-11-06,D
8445850,Bob,Davis,1899-02-02,R
8446694,Emil,Hanson,1907-11-18,R
8447614,Gus,Marker,1907-08-01,R
8447879,Ron,Moffat,1905-08-21,L
8449593,Eddie,Wiseman,1912-12-28,R
8445293,Bert,Burry,1906-07-02,D
8446411,Gus,Forslund,1908-04-25,R
8445049,Andy,Bellemer,1903-07-03,D
8445097,Mickey,Blake,1912-10-31,L
8448159,Hugh,Plaxton,1904-05-16,L
8447036,Walter,Jackson,1908-06-03,L
8447242,Gord,Kuhn,1905-11-19,R
8447628,Ron,Martin,1909-08-22,R
8449161,Wilf,Starr,1909-07-22,C
8449238,Joe,Thorsteinson,1905-03-19,R
8445333,Lorne,Carr,1910-07-02,R
8445848,Bob,Davie,1912-09-12,D
8446702,Walter,Harnott,1909-09-24,L
8448061,Jim,O'Neil,1913-04-03,C
8449058,Don,Smillie,1910-09-13,L
8447282,Adie,Lafrance,1912-01-13,L
8448179,Jack,Portland,1912-07-30,D
8448331,Jack,Riley,1910-12-29,C
8446895,Flash,Hollett,1912-04-13,D
8449022,Jack,Shill,1913-01-12,C
8447163,Bill,Kendall,1910-04-01,R
8447469,Jack,Leswick,1910-01-01,C
8449266,Lou,Trudel,1912-07-21,L
8450158,Thomas,Coulter,1911-04-21,D
8449479,Burr,Williams,1909-08-30,D
8445146,Ralph,Bowman,1911-06-20,D
8447130,Walter,Kalbfleish,1911-12-18,D
8447132,Max,Kaminsky,1913-04-19,C
8448789,Ted,Saunders,1911-08-29,R
8449001,Gerry,Shannon,1910-10-25,L
8445099,Russ,Blinco,1908-03-12,C
8445307,Herb,Cain,1912-12-24,L
8446502,Irv,Frew,1907-08-16,D
8447560,Bill,MacKenzie,1911-12-12,D
8445518,Red,Conn,1904-10-25,L
8445926,John,Doran,1911-05-24,D
8447924,Allan,Murray,1908-11-10,D
8448149,Hal,Picketts,1909-04-22,R
8445523,Bert,Connelly,1909-04-22,L
8447633,Charlie,Mason,1912-02-01,R
8448096,Lynn,Patrick,1912-02-03,C
8447904,Alex,Motter,1913-06-20,C
8448790,Tony,Savage,1906-07-18,D
8445504,Norm,Collings,1910-05-06,L
8445824,Nels,Crutchfield,1911-07-12,C
8447739,Bob,McCulley,1914-02-08,R
8447777,Jack,McGill,1910-11-03,L
8445846,Bob,Davidson,1912-02-10,L
8447023,Art,Jackson,1915-12-15,C
8447150,Pep,Kelly,1914-01-17,R
8447850,Nick,Metz,1914-02-16,L
8447511,Norm,Locking,1911-05-24,L
8444931,Tom,Anderson,1910-07-09,L
8447746,Bucko,McDonald,1914-10-31,D
8445098,Toe,Blake,1912-08-21,L
8447809,Sammy,McManus,1911-10-22,L
8447864,Bill,Miller,1908-08-01,C
8449374,Aubrey,Webster,1912-09-25,R
8446787,Fred,Hergerts,1913-01-29,C
8448946,Sweeney,Schriner,1911-11-30,L
8445754,Bill,Cowley,1912-06-12,C
8446297,Ed,Finnigan,1913-05-23,L
8447148,Pete,Kelly,1913-05-22,R
8448231,Fido,Purpur,1914-09-26,R
8445508,Mac,Colville,1916-01-08,R
8445509,Neil,Colville,1914-08-04,C
8445543,Joe,Cooper,1914-12-14,D
8448187,Babe,Pratt,1916-01-07,D
8449018,Alex,Shibicky,1914-05-19,R
8449372,Phil,Watson,1914-04-24,R
8449960,Bert,Gardiner,1913-03-25,G
8445074,Phil,Besler,1913-12-09,R
8445747,Bob,Blake,1914-08-16,L
8445961,Woody,Dumart,1916-12-23,L
8446582,Ray,Getliffe,1914-04-03,C
8445057,Max,Bennett,1912-11-04,R
8445140,Conrad,Bourcier,1916-05-28,C
8445141,Jean,Bourcier,1911-01-03,L
8445884,Joffre,Desilets,1915-04-16,R
8445953,Polly,Drouin,1916-01-16,L
8446621,Red,Goupille,1915-09-02,D
8447467,Gaston,Leroux,1913-01-09,D
8447516,Rod,Lorrain,1914-07-26,R
8446689,Reg,Hamilton,1914-04-29,D
8447615,Jack,Markle,1907-05-15,R
8447601,Norm,Mann,1914-03-03,R
8448076,Eddie,Ouellette,1911-03-09,C
8450007,Mike,Karakas,1911-12-12,G
8445194,Mud,Bruneteau,1914-11-28,R
8448463,Rolly,Roulston,1911-04-12,L
8449014,John,Sherf,1913-04-08,L
8446771,Tony,Hemmerling,1914-05-15,L
8446850,Bryan,Hextall Sr.,1913-07-31,R
8447235,Joe,Krol,1915-08-13,L
8449068,Clint,Smith,1913-12-12,C
8449359,Eddie,Wares,1915-03-19,R
8445034,Bobby,Bauer,1915-02-16,R
8448931,Milt,Schmidt,1918-03-05,C
8445184,George,Brown,1912-05-17,C
8444954,Syl,Apps,1915-01-18,C
8445950,Gordie,Drillon,1913-10-23,R
8446460,Jimmy,Fowler,1915-04-06,D
8446923,Jack,Howard,1911-10-15,D
8448088,George,Parsons,1914-06-28,L
8449837,Turk,Broda,1914-05-15,G
8445165,Milt,Brink,1910-11-26,C
8447024,Harold,Jackson,1918-08-01,D
8447222,Ike,Klingbeil,1908-11-03,D
8447327,Benjamin,LaPrairie,1911-10-20,D
8448791,Butch,Schaeffer,1911-11-07,D
8449205,Al,Suomi,1913-10-29,L
8445856,Don,Deacon,1913-06-02,L
8447575,Howie,Mackie,1913-08-30,R
8448066,Jimmy,Orlando,1916-02-27,D
8449923,Jim,Franks,1914-11-08,G
8450105,Earl,Robertson,1910-11-24,G
8445042,Frank,Beisler,1913-10-18,D
8445830,Les,Cunningham,1913-10-04,C
8446215,Wilf,Field,1915-04-29,D
8447027,Lloyd,Jackson,1912-01-07,C
8447470,Pete,Leswick,1918-07-12,L
8448309,Gord,Reid,1912-02-19,D
8450045,Alfie,Moore,1905-12-01,G
8450151,Alex,Wood,1911-01-15,G
8446861,Dutch,Hiller,1915-05-11,L
8447199,Bobby,Kirk,1909-08-08,R
8447882,Larry,Molyneaux,1912-07-09,D
8448097,Muzz,Patrick,1915-06-28,D
8445767,Jack,Crawford,1916-10-26,D
8446686,Red,Hamill,1917-01-11,L
8446860,Mel,Hill,1914-02-15,R
8445868,Tony,Demers,1917-07-22,R
8447598,Gus,Mancuso,1914-04-11,R
8448250,Armand,Raymond,1913-01-12,D
8449543,Don,Willson,1914-01-01,C
8449204,Bill,Summerhill,1915-07-09,R
8449976,Paul,Gauthier,1915-03-06,G
8444972,Murray,Armstrong,1916-01-01,C
8445358,Murph,Chamberlain,1915-02-14,L
8445579,Chuck,Corrigan,1916-05-22,R
8447133,Bingo,Kampman,1914-03-12,D
8444864,Rudy,Ahlin,1908-12-13,L
8445838,Cully,Dahlstrom,1912-07-03,C
8446695,Oscar,Hanson,1909-12-27,C
8446853,Vic,Heyliger,1919-09-26,C
8447102,Virgil,Johnson,1912-03-04,D
8448008,Hickey,Nicholson,1911-09-09,L
8449982,Paul,Goodman,1905-02-25,G
8444852,Ron,Hudson,1911-07-14,C
8445075,Pete,Bessone,1913-01-13,D
8445952,Clarence,Drouillard,1914-03-02,C
8447501,Carl,Liscombe,1915-05-17,L
8445817,Maurice,Croghan,1914-11-19,D
8449071,Des,Smith,1914-02-22,D
8444871,George,Allen,1914-07-27,L
8445343,Bill,Carse,1914-05-29,C
8445517,Roy,Conacher,1916-10-05,L
8446509,Harry,Frost,1914-08-17,R
8447824,Pat,McReavy,1918-01-16,C
8448258,Terry,Reardon,1919-04-06,C
8449017,Jack,Shewchuk,1917-06-19,D
8449836,Frank,Brimsek,1915-09-26,G
8449262,Marcel,Tremblay,1915-07-04,R
8449833,Claude,Bourque,1915-03-31,G
8445467,Jack,Church,1915-05-24,D
8446842,Red,Heron,1917-12-31,C
8447320,Pete,Langelle,1917-11-04,C
8447849,Don,Metz,1916-01-10,R
8445866,Ab,DeMarco Sr.,1916-05-10,C
8444857,Sid,Abel,1918-02-22,C
8445182,Connie,Brown,1917-01-11,C
8445295,Eddie,Bush,1918-07-11,D
8446583,Gus,Giesebrecht,1917-09-14,C
8446651,Don,Grosso,1915-04-12,L
8447113,Buck,Jones,1918-08-17,D
8447141,Jack,Keating,1916-10-09,L
8447182,Ken,Kilrea,1919-01-16,L
8449184,Jack,Stewart,1917-05-06,D
8449234,Bill,Thomson,1914-03-23,C
8450126,Harvey,Teno,1915-02-15,G
8449235,Jack,Tomson,1918-01-31,D
8447535,Kilby,MacDonald,1914-09-06,L
8448151,Alf,Pike,1917-09-15,L
8448174,Johnny,Polich,1916-07-08,R
8449085,Stan,Smith,1917-08-13,C
8447847,Bill,Meronek,1917-04-15,C
